Pay Slip Number ,Pay slip Date,Pay Duration,Total Pay,Tax Paid,Retured Amount,Salary in Hand,total without tax
1,2023-09-30,weeky ,600,101.55,0,498.45,498.45
2,2023-10-09,weekly,600,100.49,0,499.51,499.51
3,2023-10-16,weekly,600,100.49,0,499.51,499.51
4,2023-10-26,weekly,600,101.55,0,498.45,498.45
5,2023-11-01,weekly,600,100.49,0,499.51,499.51
6,2023-11-16,biweekly,1200,191.62,0,1008.38,1008.38
7,2023-12-01,biweekly,1200,200.98,0,999.02,999.02
8,2023-12-30,Monthly,2400,383.25,0,2016.75,2016.75
9,2024-01-31,Monthly,2400,371.94,0,2028.06,2028.06
10,2024-05-10,biweekly,600,100,0,500,500
11,2024-05-31,biweekly,1400,248.22,651.78,500,1151.78
12,2024-06-15,biweekly,1400,248.22,650,501.78,1151.78
